"Source:","D:\PCB_Designing\JT_PDU_Surge_protector\JT_PDU_Surge_protector\JT_PDU_Surge_protector.kicad_sch"
"Date:","08-06-2024 15:30:01"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","6"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Availability","Check_prices","Description","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","PARTREV","Package","Price","Purchase-URL","STANDARD","SnapEDA_Link"
"","","GDT1","B88069X4760T902","B88069X4760T902:B88069X4760T902","B88069X4760T902:MOV_B88069X4760T902","https://product.tdk.com/system/files/dam/doc/product/protection/voltage/arrester/data_sheet/100/ds/m51-c90xsmd-x4760t902.pdf","In Stock","https://www.snapeda.com/parts/B88069X4760T902/EPCOS/view-part/?ref=eda","Surge Arrestor 2-Electrode Surge Arrestor 90VDC 10KA Thru-Hole","TDK","5.63 mm","EPCOS","B88069X4760T902","7/29/2022","Axial Cylinder EPCOS","None","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=1303940&manufacturer=EPCOS&part_name=B88069X4760T902&search_term=b88069x4760t902","Manufacturer Recommendations","https://www.snapeda.com/parts/B88069X4760T902/EPCOS/view-part/?ref=snap"
"","","GDT2","B88069X4760T902","B88069X4760T902:B88069X4760T902","B88069X4760T902:MOV_B88069X4760T902","https://product.tdk.com/system/files/dam/doc/product/protection/voltage/arrester/data_sheet/100/ds/m51-c90xsmd-x4760t902.pdf","In Stock","https://www.snapeda.com/parts/B88069X4760T902/EPCOS/view-part/?ref=eda","Surge Arrestor 2-Electrode Surge Arrestor 90VDC 10KA Thru-Hole","TDK","5.63 mm","EPCOS","B88069X4760T902","7/29/2022","Axial Cylinder EPCOS","None","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=1303940&manufacturer=EPCOS&part_name=B88069X4760T902&search_term=b88069x4760t902","Manufacturer Recommendations","https://www.snapeda.com/parts/B88069X4760T902/EPCOS/view-part/?ref=snap"
"","","GDT3","B88069X4760T902","B88069X4760T902:B88069X4760T902","B88069X4760T902:MOV_B88069X4760T902","https://product.tdk.com/system/files/dam/doc/product/protection/voltage/arrester/data_sheet/100/ds/m51-c90xsmd-x4760t902.pdf","In Stock","https://www.snapeda.com/parts/B88069X4760T902/EPCOS/view-part/?ref=eda","Surge Arrestor 2-Electrode Surge Arrestor 90VDC 10KA Thru-Hole","TDK","5.63 mm","EPCOS","B88069X4760T902","7/29/2022","Axial Cylinder EPCOS","None","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=1303940&manufacturer=EPCOS&part_name=B88069X4760T902&search_term=b88069x4760t902","Manufacturer Recommendations","https://www.snapeda.com/parts/B88069X4760T902/EPCOS/view-part/?ref=snap"
"","","H1","MountingHole_Pad","Mechanical:MountingHole_Pad","","~","","","","","","","","","","","","",""
"","","J1","1720796","1720796:1720796","1720796:PHOENIX_1720796","https://www.phoenixcontact.com/en-us/products/pcb-header-pc-5-2-gf-762-1720796?type=pdf","In Stock","https://www.snapeda.com/parts/1720796/Phoenix+Contact/view-part/?ref=eda","Pluggable Header 7.62mm 8AWG 630V 41A 2 Position COMBICON PC Series | Phoenix Contact 1720796","Phoenix Contact","14.44mm","Phoenix Contact","1720796","18.07.2018","None","None","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=4081149&manufacturer=Phoenix Contact&part_name=1720796&search_term=1720796","Manufacturer Recommendations","https://www.snapeda.com/parts/1720796/Phoenix+Contact/view-part/?ref=snap"
"","","J2","1708381","1708381:1708381","1708381:PHOENIX_1708381","https://www.phoenixcontact.com/en-us/products/pcb-header-ipc-5-2-g-762-1708381?type=pdf","In Stock","https://www.snapeda.com/parts/1708381/Phoenix+Contact/view-part/?ref=eda","Pluggable Header 7.62mm 8AWG 630V 41A 2 Position Combicon Power Series | Phoenix Contact 1708381","Phoenix Contact","12.95mm","Phoenix Contact","1708381","15.06.2015","None","None","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=6688011&manufacturer=Phoenix Contact&part_name=1708381&search_term=1708381","Manufacturer Recommendations","https://www.snapeda.com/parts/1708381/Phoenix+Contact/view-part/?ref=snap"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Availability","Check_prices","Description","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","PARTREV","Package","Price","Purchase-URL","STANDARD","SnapEDA_Link"
"1","3","GDT1, GDT2, GDT3","B88069X4760T902","B88069X4760T902:B88069X4760T902","B88069X4760T902:MOV_B88069X4760T902","https://product.tdk.com/system/files/dam/doc/product/protection/voltage/arrester/data_sheet/100/ds/m51-c90xsmd-x4760t902.pdf","In Stock","https://www.snapeda.com/parts/B88069X4760T902/EPCOS/view-part/?ref=eda","Surge Arrestor 2-Electrode Surge Arrestor 90VDC 10KA Thru-Hole","TDK","5.63 mm","EPCOS","B88069X4760T902","7/29/2022","Axial Cylinder EPCOS","None","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=1303940&manufacturer=EPCOS&part_name=B88069X4760T902&search_term=b88069x4760t902","Manufacturer Recommendations","https://www.snapeda.com/parts/B88069X4760T902/EPCOS/view-part/?ref=snap"
"2","1","H1","MountingHole_Pad","Mechanical:MountingHole_Pad","","~","","","","","","","","","","","","",""
"3","1","J1","1720796","1720796:1720796","1720796:PHOENIX_1720796","https://www.phoenixcontact.com/en-us/products/pcb-header-pc-5-2-gf-762-1720796?type=pdf","In Stock","https://www.snapeda.com/parts/1720796/Phoenix+Contact/view-part/?ref=eda","Pluggable Header 7.62mm 8AWG 630V 41A 2 Position COMBICON PC Series | Phoenix Contact 1720796","Phoenix Contact","14.44mm","Phoenix Contact","1720796","18.07.2018","None","None","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=4081149&manufacturer=Phoenix Contact&part_name=1720796&search_term=1720796","Manufacturer Recommendations","https://www.snapeda.com/parts/1720796/Phoenix+Contact/view-part/?ref=snap"
"4","1","J2","1708381","1708381:1708381","1708381:PHOENIX_1708381","https://www.phoenixcontact.com/en-us/products/pcb-header-ipc-5-2-g-762-1708381?type=pdf","In Stock","https://www.snapeda.com/parts/1708381/Phoenix+Contact/view-part/?ref=eda","Pluggable Header 7.62mm 8AWG 630V 41A 2 Position Combicon Power Series | Phoenix Contact 1708381","Phoenix Contact","12.95mm","Phoenix Contact","1708381","15.06.2015","None","None","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=6688011&manufacturer=Phoenix Contact&part_name=1708381&search_term=1708381","Manufacturer Recommendations","https://www.snapeda.com/parts/1708381/Phoenix+Contact/view-part/?ref=snap"
